## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T11:33:05.630Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Oxygen data from 1 Jan - 31 Dec 2017, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_OxygenSensor_OxygenConcentrationCorrected_20170101T000000Z_20171231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22524118                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.039750                         / Latitude North
#LONGITUDE:  -123.426333                         / Longitude East
#DEPTH:       300.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Oxygen Sensor                           / Device Category
#DEVTOT:    3  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2017-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "SeaBird 43 Oxygen (S/N 2584)"        / Device Name of Device 1
#DEVCODE1:  SBE43-2584                           / Device Code of Device 1
#DEVID1:    23138                                / Device ID of Device 1
#
#DEPLDATE2: 2017-06-23T06:06:04.000Z             / Device 2 Deployment Date
#DEVNAME2: "Sea-Bird SBE 63 Dissolved Oxygen Sensor 631534"  / Device Name of Device 2
#DEVCODE2:  SBE63631534                          / Device Code of Device 2
#DEVID2:    24129                                / Device ID of Device 2
#
#DEPLDATE3: 2017-12-03T23:48:00.000Z             / Device 3 Deployment Date
#DEVNAME3: "Sea-Bird SBE 63 Dissolved Oxygen Sensor 630834"  / Device Name of Device 3
#DEVCODE3:  SBE63630834                          / Device Code of Device 3
#DEVID3:    23356                                / Device ID of Device 3
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2017-01-01T00:00:00.000Z             / Data Start Time
#DATETO:    2017-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 3                                    / Number of Sample Periods
#PERIODST1: 2016-11-07T18:28:20.000Z             / Sample Period 1 Start Time
#PERIOD1:   600                                  / Sensor Sample Period 1 (s)
#PERIODST2: 2017-04-10T17:05:28.000Z             / Sample Period 2 Start Time
#PERIOD2:   1                                    / Sensor Sample Period 2 (s)
#PERIODST3: 2017-12-02T00:33:40.000Z             / Sample Period 3 Start Time
#PERIOD3:   600                                  / Sensor Sample Period 3 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 2336                                 / Samples in File
#TOTSMPEXP: 8736                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Oxygen Concentration Corrected (ml/l)", "Oxygen Concentration Corrected QC Flag" , "Oxygen Concentration Corrected Count"  
## END HEADER
2017-01-01T00:30:00.000Z, NaN, 6, 0
2017-01-01T01:30:00.000Z, NaN, 6, 0
2017-01-01T02:30:00.000Z, NaN, 6, 0
2017-01-01T03:30:00.000Z, NaN, 6, 0
2017-01-01T04:30:00.000Z, NaN, 6, 0
2017-01-01T05:30:00.000Z, NaN, 6, 0
2017-01-01T06:30:00.000Z, NaN, 6, 0
2017-01-01T07:30:00.000Z, NaN, 6, 0
2017-01-01T08:30:00.000Z, NaN, 6, 0
2017-01-01T09:30:00.000Z, NaN, 6, 0
2017-01-01T10:30:00.000Z, NaN, 6, 0
2017-01-01T11:30:00.000Z, NaN, 6, 0
2017-01-01T12:30:00.000Z, NaN, 6, 0
2017-01-01T13:30:00.000Z, NaN, 6, 0
2017-01-01T14:30:00.000Z, NaN, 6, 0
2017-01-01T15:30:00.000Z, NaN, 6, 0
2017-01-01T16:30:00.000Z, NaN, 6, 0
2017-01-01T17:30:00.000Z, NaN, 6, 0
2017-01-01T18:30:00.000Z, NaN, 6, 0
2017-01-01T19:30:00.000Z, NaN, 6, 0
2017-01-01T20:30:00.000Z, NaN, 6, 0
2017-01-01T21:30:00.000Z, NaN, 6, 0
2017-01-01T22:30:00.000Z, NaN, 6, 0
2017-01-01T23:30:00.000Z, NaN, 6, 0
2017-01-02T00:30:00.000Z, NaN, 6, 0
2017-01-02T01:30:00.000Z, NaN, 6, 0
2017-01-02T02:30:00.000Z, NaN, 6, 0
2017-01-02T03:30:00.000Z, NaN, 6, 0
2017-01-02T04:30:00.000Z, NaN, 6, 0
2017-01-02T05:30:00.000Z, NaN, 6, 0
2017-01-02T06:30:00.000Z, NaN, 6, 0
2017-01-02T07:30:00.000Z, NaN, 6, 0
2017-01-02T08:30:00.000Z, NaN, 6, 0
2017-01-02T09:30:00.000Z, NaN, 6, 0
2017-01-02T10:30:00.000Z, NaN, 6, 0
2017-01-02T11:30:00.000Z, NaN, 6, 0
2017-01-02T12:30:00.000Z, NaN, 6, 0
2017-01-02T13:30:00.000Z, NaN, 6, 0
2017-01-02T14:30:00.000Z, NaN, 6, 0
2017-01-02T15:30:00.000Z, NaN, 6, 0
2017-01-02T16:30:00.000Z, NaN, 6, 0
2017-01-02T17:30:00.000Z, NaN, 6, 0
2017-01-02T18:30:00.000Z, NaN, 6, 0
2017-01-02T19:30:00.000Z, NaN, 6, 0
2017-01-02T20:30:00.000Z, NaN, 6, 0
2017-01-02T21:30:00.000Z, NaN, 6, 0
2017-01-02T22:30:00.000Z, NaN, 6, 0
2017-01-02T23:30:00.000Z, NaN, 6, 0
2017-01-03T00:30:00.000Z, NaN, 6, 0
2017-01-03T01:30:00.000Z, NaN, 6, 0
2017-01-03T02:30:00.000Z, NaN, 6, 0
2017-01-03T03:30:00.000Z, NaN, 6, 0
2017-01-03T04:30:00.000Z, NaN, 6, 0
2017-01-03T05:30:00.000Z, NaN, 6, 0
2017-01-03T06:30:00.000Z, NaN, 6, 0
2017-01-03T07:30:00.000Z, NaN, 6, 0
2017-01-03T08:30:00.000Z, NaN, 6, 0
2017-01-03T09:30:00.000Z, NaN, 6, 0
2017-01-03T10:30:00.000Z, NaN, 6, 0
2017-01-03T11:30:00.000Z, NaN, 6, 0
2017-01-03T12:30:00.000Z, NaN, 6, 0
2017-01-03T13:30:00.000Z, NaN, 6, 0
2017-01-03T14:30:00.000Z, NaN, 6, 0
2017-01-03T15:30:00.000Z, NaN, 6, 0
2017-01-03T16:30:00.000Z, NaN, 6, 0
2017-01-03T17:30:00.000Z, NaN, 6, 0
2017-01-03T18:30:00.000Z, NaN, 6, 0
2017-01-03T19:30:00.000Z, NaN, 6, 0
2017-01-03T20:30:00.000Z, NaN, 6, 0
2017-01-03T21:30:00.000Z, NaN, 6, 0
2017-01-03T22:30:00.000Z, NaN, 6, 0
2017-01-03T23:30:00.000Z, NaN, 6, 0
2017-01-04T00:30:00.000Z, NaN, 6, 0
2017-01-04T01:30:00.000Z, NaN, 6, 0
2017-01-04T02:30:00.000Z, NaN, 6, 0
2017-01-04T03:30:00.000Z, NaN, 6, 0
